Primary Diagnosis Code,Primary Diagnosis Code Description,all_attendances,first_appointment,first_tele,subsequent_appointment,subsequent_tele,unknown_attendance_type,total_tele,total_in_person,tele_adoption_rate,followup_ratio,unknown_rate,priority_score
A009,Typhoid fever,68.0,21.0,3.0,44.0,0.0,0,3.0,65.0,0.04411764705882353,1.8,0.0,0.0
A010,Paratyphoid fever A,3.0,3.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0
A011,"Paratyphoid fever, unspecified",1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A014,Salmonella enteritis,14.0,3.0,3.0,5.0,3.0,0,6.0,8.0,0.42857142857142855,1.3,0.0,0.0
A020,Salmonella sepsis,7.0,1.0,0.0,6.0,0.0,0,0.0,7.0,0.0,6.0,0.0,0.0
A021,Localized salmonella infections,3.0,0.0,0.0,1.0,2.0,0,2.0,1.0,0.6666666666666666,0.0,0.0,0.0
A022,"Salmonella infection, unspecified",15.0,6.0,1.0,6.0,2.0,0,3.0,12.0,0.2,1.1,0.0,0.0
A029,Shigellosis due to Shigella flexneri,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A031,"Shigellosis, unspecified",14.0,5.0,6.0,3.0,0.0,0,6.0,8.0,0.42857142857142855,0.3,0.0,0.0
A039,Enterotoxigenic Escherichia coli infection,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A041,Enterohaemorrhagic Escherichia coli infection,2.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.5,0.0,0.0,0.0
A043,Other intestinal Escherichia coli infections,11.0,5.0,3.0,2.0,1.0,0,4.0,7.0,0.36363636363636365,0.4,0.0,0.0
A044,Campylobacter enteritis,66.0,21.0,19.0,16.0,10.0,0,29.0,37.0,0.4393939393939394,0.7,0.0,0.0
A045,Enteritis due to Yersinia enterocolitica,1.0,0.0,1.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0
A046,Enterocolitis due to Clostridium difficile,65.0,10.0,12.0,33.0,10.0,0,22.0,43.0,0.3384615384615385,2.0,0.0,0.0
A047,Other specified bacterial intestinal infections,104.0,28.0,12.0,30.0,34.0,0,46.0,58.0,0.4423076923076923,1.6,0.0,0.0
A048,"Bacterial intestinal infection, unspecified",9.0,1.0,2.0,4.0,2.0,0,4.0,5.0,0.4444444444444444,2.0,0.0,0.0
A049,Botulism,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A051,Other specified bacterial foodborne intoxications,1.0,0.0,1.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0
A058,"Bacterial foodborne intoxication, unspecified",4.0,1.0,3.0,0.0,0.0,0,3.0,1.0,0.75,0.0,0.0,0.0
A059,Acute amoebic dysentery,2.0,0.0,0.0,1.0,1.0,0,1.0,1.0,0.5,0.0,0.0,0.0
A060,Chronic intestinal amoebiasis,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0
A061,Amoebic liver abscess,5.0,0.0,2.0,2.0,1.0,0,3.0,2.0,0.6,1.5,0.0,0.0
A064,Amoebic lung abscess,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A065,Amoebic infection of other sites,3.0,2.0,0.0,1.0,0.0,0,0.0,3.0,0.0,0.5,0.0,0.0
A068,"Amoebiasis, unspecified",2.0,2.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0
A069,Giardiasis [lambliasis],34.0,11.0,2.0,15.0,6.0,0,8.0,26.0,0.23529411764705882,1.6,0.0,0.0
A071,Cryptosporidiosis,4.0,0.0,0.0,2.0,2.0,0,2.0,2.0,0.5,0.0,0.0,0.0
A072,Rotaviral enteritis,6.0,4.0,0.0,2.0,0.0,0,0.0,6.0,0.0,0.5,0.0,0.0
A080,Acute gastroenteropathy due to Norwalk agent,18.0,8.0,1.0,7.0,2.0,0,3.0,15.0,0.16666666666666666,1.0,0.0,0.0
A081,Adenoviral enteritis,3.0,3.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0
A082,Other viral enteritis,11.0,5.0,2.0,3.0,1.0,0,3.0,8.0,0.2727272727272727,0.6,0.0,0.0
A083,"Viral intestinal infection, unspecified",253.0,225.0,3.0,24.0,1.0,0,4.0,249.0,0.015810276679841896,0.1,0.0,0.0
A084,Other specified intestinal infections,4.0,0.0,0.0,4.0,0.0,0,0.0,4.0,0.0,0.0,0.0,0.0
A085,Other and unspecified gastroenteritis and colitis of infectious origin,242.0,133.0,29.0,40.0,40.0,0,69.0,173.0,0.28512396694214875,0.5,0.0,0.0
